CompanyName, CompanyNumber,RegAddress.CareOf,RegAddress.POBox,RegAddress.AddressLine1, RegAddress.AddressLine2,RegAddress.PostTown,RegAddress.County,RegAddress.Country,RegAddress.PostCode,CompanyCategory,CompanyStatus,CountryOfOrigin,DissolutionDate,IncorporationDate,Accounts.AccountRefDay,Accounts.AccountRefMonth,Accounts.NextDueDate,Accounts.LastMadeUpDate,Accounts.AccountCategory,Returns.NextDueDate,Returns.LastMadeUpDate,Mortgages.NumMortCharges,Mortgages.NumMortOutstanding,Mortgages.NumMortPartSatisfied,Mortgages.NumMortSatisfied,SICCode.SicText_1,SICCode.SicText_2,SICCode.SicText_3,SICCode.SicText_4,LimitedPartnerships.NumGenPartners,LimitedPartnerships.NumLimPartners,URI,PreviousName_1.CONDATE, PreviousName_1.CompanyName, PreviousName_2.CONDATE, PreviousName_2.CompanyName,PreviousName_3.CONDATE, PreviousName_3.CompanyName,PreviousName_4.CONDATE, PreviousName_4.CompanyName,PreviousName_5.CONDATE, PreviousName_5.CompanyName,PreviousName_6.CONDATE, PreviousName_6.CompanyName,PreviousName_7.CONDATE, PreviousName_7.CompanyName,PreviousName_8.CONDATE, PreviousName_8.CompanyName,PreviousName_9.CONDATE, PreviousName_9.CompanyName,PreviousName_10.CONDATE, PreviousName_10.CompanyName,ConfStmtNextDueDate, ConfStmtLastMadeUpDate
"! LTD","08209948","","","METROHOUSE 57 PEPPER ROAD","HUNSLET","LEEDS","YORKSHIRE","","LS10 2RU","Private Limited Company","Active","United Kingdom","","11/09/2012","30","9","30/06/2023","30/09/2021","DORMANT","09/10/2016","11/09/2015","0","0","0","0","99999 - Dormant Company","","","","0","0","http://business.data.gov.uk/id/company/08209948","","","","","","","","","","","","","","","","","","","","","25/09/2022","11/09/2021"
"!? LTD","11399177","","","THE STUDIO HATHERLOW HOUSE","HATHERLOW","ROMILEY","","UNITED KINGDOM","SK6 3DY","Private Limited Company","Active","United Kingdom","","05/06/2018","30","6","31/03/2023","30/06/2021","TOTAL EXEMPTION FULL","03/07/2019","","0","0","0","0","47710 - Retail sale of clothing in specialised stores","","","","0","0","http://business.data.gov.uk/id/company/11399177","","","","","","","","","","","","","","","","","","","","","19/06/2022","05/06/2021"
"!BIG IMPACT GRAPHICS LIMITED","11743365","","","372 OLD STREET","335 ROSDEN HOUSE","LONDON","","UNITED KINGDOM","EC1V 9LT","Private Limited Company","Active","United Kingdom","","28/12/2018","31","12","30/09/2022","31/12/2020","DORMANT","25/01/2020","","0","0","0","0","18129 - Printing n.e.c.","59112 - Video production activities","63120 - Web portals","74201 - Portrait photographic activities","0","0","http://business.data.gov.uk/id/company/11743365","","","","","","","","","","","","","","","","","","","","","10/01/2023","27/12/2021"
"!GOBERUB LTD","13404790","","","30 MAZE GREEN ROAD","","BISHOP'S STORTFORD","","ENGLAND","CM23 2PJ","Private Limited Company","Active","United Kingdom","","17/05/2021","31","5","17/02/2023","","NO ACCOUNTS FILED","14/06/2022","","0","0","0","0","62020 - Information technology consultancy activities","70229 - Management consultancy activities other than financial management","79110 - Travel agency activities","","0","0","http://business.data.gov.uk/id/company/13404790","","","","","","","","","","","","","","","","","","","","","30/05/2022",""
"!NFOGENIE LTD","13522064","","","71-75 SHELTON STREET","","LONDON","GREATER LONDON","UNITED KINGDOM","WC2H 9JQ","Private Limited Company","Active","United Kingdom","","21/07/2021","31","7","21/04/2023","","NO ACCOUNTS FILED","18/08/2022","","0","0","0","0","58290 - Other software publishing","","","","0","0","http://business.data.gov.uk/id/company/13522064","","","","","","","","","","","","","","","","","","","","","03/08/2022",""
"!NNOV8 LIMITED","11006939","","","OLD BARN FARM","HARTFIELD ROAD","EDENBRIDGE","","ENGLAND","TN8 5NF","Private Limited Company","Active","United Kingdom","","11/10/2017","31","3","31/12/2022","31/03/2021","MICRO ENTITY","08/11/2018","","0","0","0","0","62090 - Other information technology service activities","70229 - Management consultancy activities other than financial management","","","0","0","http://business.data.gov.uk/id/company/11006939","","","","","","","","","","","","","","","","","","","","","24/10/2022","10/10/2021"
"!NSPIRED INVESTMENTS LTD","SC606050","","","26 POLMUIR ROAD","","ABERDEEN","","SCOTLAND","AB11 7SY","Private Limited Company","Active","United Kingdom","","22/08/2018","31","8","31/05/2023","31/08/2021","TOTAL EXEMPTION FULL","19/09/2019","","5","5","0","0","68209 - Other letting and operating of own or leased real estate","","","","0","0","http://business.data.gov.uk/id/company/SC606050","","","","","","","","","","","","","","","","","","","","","12/02/2023","29/01/2022"
"!NSPIRED LTD","SC421617","","","26 POLMUIR ROAD","","ABERDEEN","","UNITED KINGDOM","AB11 7SY","Private Limited Company","Liquidation","United Kingdom","","11/04/2012","10","1","10/10/2023","10/01/2022","TOTAL EXEMPTION FULL","09/05/2017","11/04/2016","0","0","0","0","70229 - Management consultancy activities other than financial management","","","","0","0","http://business.data.gov.uk/id/company/SC421617","","","","","","","","","","","","","","","","","","","","","25/04/2022","11/04/2021"
"!NVERTD DESIGNS LIMITED","09152972","","","2 SANDROCKS LODGE","ROCKY LANE","HAYWARDS HEATH","","ENGLAND","RH16 4RW","Private Limited Company","Active","United Kingdom","","30/07/2014","31","7","30/04/2023","31/07/2021","MICRO ENTITY","27/08/2016","30/07/2015","0","0","0","0","58190 - Other publishing activities","","","","0","0","http://business.data.gov.uk/id/company/09152972","","","","","","","","","","","","","","","","","","","","","13/08/2022","30/07/2021"
"!OBAC LIMITED","FC031362","","","1ST AND 2ND FLOORS ELIZABETH HOUSE","LES RUETIES BRAYES","ST PETER PORT","GUERNSEY","GUERNSEY","GY1 1EW","Other company type","Active","CHANNEL ISLANDS","","30/11/2012","31","12","","31/12/2020","FULL","","","0","0","0","0","None Supplied","","","","0","0","http://business.data.gov.uk/id/company/FC031362","","","","","","","","","","","","","","","","","","","","","14/12/2016",""
