Account Number: 70046448	5
invoice Number: 33273390	5
Rentokil	2
29/11/2019	6
OkWh at 14.022 p per kWh	3
OkWh at 10.128 p per kWh	3
71KVA at 1.31000 £ per kVA/mth	3
Haven Power Limited	2
ONEDIRECT	2
PART OF ONEHOUSING GROUP	2
Invoice number: JOHXQ1	5
05/11/2018	6
UPRN / UCARN: PALMERS46000	5
Temperature Monitoring	3
Water Hygiene Testing -	3
M&E	3
Total £ 75.07	4
One Direct Maintenance Limited	2
MD05001 - [ 50100 ] - Communal lighting in the following places £ 92.05	3
Communal Repairs General | 2nd floor - 4 lights	3
Building - Responsive 3rd floor - 2 lights	3
Total £ 92.05	4
AM/4377458-1	5
AM/4377458-1	5
INVOICE NO. 7506	5
DATE 07/01/2020	6
Solitaire Limited	2
Rendall & Rittner	2
Gutter Cleaning Services	3
FRESCO ENVIRONMENTAL LTD	2
Invoice No: PW96580	5
Account Number: 10003803	5
Wasted journey	3
Mixed Municipal Waste	3
Rendall and Rittner	2
INV-653-851	5
UPRN / UCARN: = PALMER550000	5
Out of hours	3
Communal Repairs - M&E	3
REPORTED: Caller states the electronic communal	3
door is left open-showing an electrical fault. needs to	3
be functioning correctly	3
please attend to doors on all floors	3
Total £ 293.28	4
iCS Communications	2
(Total Amount Due 263.18	4
HYDE HOUSING ASSOCIATION	2
Initial Washroom Hygiene	2
payment Balance Due £234.00	4
Gallagher	2
Insurance | Risk Management | Consulting	3
Invoice No: 59944664	5
Account Reference: 7375087	5
Total Due £ 555.35	4
Order No. E21325	5
Monitoring visits carried out at various Hyde 1 3040.34 3060.34	3
properties for the month of May 2020 a8 per	3
Purchase order 80119234	5
water hygiene	3
integrated Water Services Ltd	2
Confirmation Order - attending tomorrow	3
Water Pump Maintenance	3
M&E by Peter	3
Total £1502.82	4
Timesheet Form	3
Abbatt Property Recruitment	2
Timesheet Number 268841	3
MD05109 - Smoke Vent (AOV)	3
M&E Maintenance	3
Emergency Lighting	3
Emergency Lighting - M&E	3
MD05001 - [ 50100 ] - Access Details:07814 107 932 - 4th floor - £ 37.44	3
Communal Repairs General | Communal - Double glazed - Door - The glass panel	3
Building - Responsive inside the door on the 4th floor near to the lift needs	3
renewing - Glass ordered already at Islington glass	3
Total £ 37.44	4
KBK Property Services Limited	2
Labour & Materials	3
TOTAL 594.00	4
KBK Property Services Limited	2
The Hyde Group Mears Ltd	2
overhaul light fittings x 14 and renew low energy lamp x 28 to block	3
Mears Group PLC	2
iCS Communications	2
Invoice Number: 308538	5
Total Amount Due 262.35	4
THE PEST CONTROL PEOPLE	2
SAFEGUARD PEST CONTROL	2
Total Net Amount 900.00	4
Fire Risk Assessment	3
General & Fire Ass	3
Fire Risk Assessment (Band Multi)	3
Lift Maint contract	3
Servicing	3
Total £ 460.94	4
Extreme Cleaning Pest Control Estate Management	2
Bulk rubbish Collection	3
Total £ 94.40	4
Dated 13/03/2020	6
For Order 0000033247 	5
ALLAN and JAMES to attend together	3
Communal Repairs Please investigate if boilers have switched off again	3
and need resetting - anything we can do until parts	3
arrive in 2 weeks time	3
MD05001 - [ 50100 ] - Access Details:rhys +442088215431 description:1 £ 246.83	3
Communal Repairs General | Stairway lights - 6th floor. 1 lights - 6th floor. 1 lights	3
Building - Responsive - 5th floor. 1 landing lights - 4th floor	3
Total £ 246.83	4
London & Quadrant	2
Action Taken : am”. power on system on top floor fused spur no distribution board in this part of building also	3
door intercom system is not working may be part of issue explained to resident electrician needed to	3
UPRN / UCARN : PALMER550000	5
Estates & Management Limited	2
Invoice Number: TOWNHALL152	5
3.6.20 Supply of cleaner (18 hours) £156.96	3
3.6.20 Total £156.96	4
X1 Management Ltd	2
MD05001 - [ 50100 ] - URGENTLY REQUIRED Flat 27 report all communal £ 33.15	3
Communal Repairs General | light not working on the 4th floor please rectify	3
MD05001 - [ 50100 ] - x6 lights out on the 5th floor. £ 71.01	3
Firetecnics Systems Ltd	2
Unbloc Drainage Engineers Ltd	2
CCTV inspection/survey of the stack/soil pipes in:	3
Engineer CCTV‘d stacks at Sark Tower on 8th and 15th floor. Took pictures. CCTV'd stacks at Tideslea tower on 15th floor no access to camera	3
stacks via flats 53 or 54 on 8th floor. Unable to get bolts off in Sark Tower car park. Recommend to change ensign elbow and replace like for like.	3
MD05001 - [ 50100 ] - Access Details:Reported by Christoff - 07828551962 £ 250.68	3
Communal Repairs General | (concierge) description: glass on fire door located on	3
Alphatrack	2
Invoice No 137010	5
Firetecnics Systems Ltd	2
Hyde Housing Association Ltd	2
To provide Grounds Maintenance services in the Lewisham	3
and Southwark area as per our tender submission and	3
subsequent adjustments	3
For the month of February 2021	3
CLEANSCAPES	2
Cleanscapes Limited	2
Account number 73141098	5
ESTATE SERVICES	2
31/03/2018	6
ESBR1821	5
Bulk rubbish Collection Suttons Wharf South £ 94.40	3
TIDESLEA TOWER - CONCIERGE	2
LYRECO UK LIMITED	2
INVOICE N° 6420253802	5
Lyreco	2
75 Courtland Crescent, Plymouth, PL7 4HL	1
252 Grindley Lane, Blythe Bridge, ST11 9LW	1
13 Boverton Court, Boverton, CF61 1UJ	1
6 The Close, Merriott, TA16 5PE	1
97 Pendragon Crescent, Newquay, TR7 2SS	1
24 Hilrose Avenue, Urmston, M41 9PB	1
5 Buttercup Court, Healing, DN41 7JF	1
8 Overshores Road, Turton, BL7 0LX	1
35 Bellgate, Hemel Hempstead, HP2 5SB	1
118 Vale House, Fowler Road, Aylesbury, HP19 7XF	1
104 Carlton Avenue, Gillingham, ME7 2JT	1
Glanville House, Glanville Road, Wedmore, BS28 4AD	1
30 Templer Road, Preston, TQ3 1EL	1
5 Alma Terrace, Barnstaple, EX32 9HW	1
9 Radcliffe Park, Bamburgh, NE69 7AN	1
Flat 157B, Florence Court, Croydon Road, Caterham, CR3 6PF	1
10 Mill Road, Lydd, TN29 9EP	1
11 Bryn Seion Street, Rhymney, NP22 5EW	1
38 Yardley Fields Road, Birmingham, B33 8TX	1
Flat 29, Guildmaster Court, Desborough Road, High Wycombe, HP11 2RQ	1
15 Parc An Creet, St. Ives, TR26 2ES	1
4 Florentine Way, Waterlooville, PO7 8JY	1
30 Sunningdale Road, Hatfield Woodhouse, DN7 6PE	1
5 Hardington Drive, Keynsham, BS31 1YA	1
